"npTitleId","npTitleIdshort","name","region","category","psVr","neoEnable","ps5bc","date"
"CUSA10090_00","CUSA10090","PRO EVOLUTION SOCCER 2018 LITE","UP","gd",0,1,"BOOTABLE","2020-10-31T20:07:45.374814Z"
"CUSA10092_00","CUSA10092","Outcast - Second Contact Soundtrack","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3826238Z"
"CUSA10093_00","CUSA10093","SWORD ART ONLINE: FATAL BULLET","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.3907253Z"
"CUSA10095_00","CUSA10095","DOOM VFR","HP","gd",2,1,"BOOTABLE","2020-10-31T20:07:45.3987654Z"
"CUSA10096_00","CUSA10096","Winning Eleven 2018 Lite","JP","gd",0,1,"BOOTABLE","2020-10-31T20:07:45.4070242Z"
"CUSA10097_00","CUSA10097","SONIC FORCES DEMO","JP","gd",0,1,"N/A","2020-10-31T20:07:45.415229Z"
"CUSA10098_00","CUSA10098","Rugby League Live 4 World Cup Edition","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.4233854Z"
"CUSA10099_00","CUSA10099","Quar: Infernal Machines","EP","gd",1,1,"COMPATIBLE","2020-10-31T20:07:45.4312632Z"
"CUSA10100_00","CUSA10100","Ride 3","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.4393404Z"
"CUSA10101_00","CUSA10101","Outcast - Second Contact Soundtrack","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.4477381Z"
"CUSA10102_00","CUSA10102","PRO EVOLUTION SOCCER 2018 LITE","EP","gd",0,1,"BOOTABLE","2020-10-31T20:07:45.4542886Z"
"CUSA10103_00","CUSA10103","Darkest Dungeon","JP","gd",0,0,"COMPATIBLE","2020-10-31T20:07:45.4622514Z"
"CUSA10104_00","CUSA10104","Assassin's Creed® Origins","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.4706771Z"
"CUSA10105_00","CUSA10105","BLAZBLUE CROSS TAG BATTLE","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.4782781Z"
"CUSA10106_00","CUSA10106","드래곤 퀘스트 XI 지나간 시간을 찾아서","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.4865456Z"
"CUSA10107_00","CUSA10107","Unepic","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.4939749Z"
"CUSA10108_00","CUSA10108","Fishing Master (Demo)","HP","gd",2,1,"N/A","2020-10-31T20:07:45.500938Z"
"CUSA10109_00","CUSA10109","End Space","EP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.5085801Z"
"CUSA10110_00","CUSA10110","RollerCoaster Legends","EP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.5163865Z"
"CUSA10111_00","CUSA10111","The Tenth Line","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5241787Z"
"CUSA10113_00","CUSA10113","Lost Grimoires 2: Shard of Mystery","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5316472Z"
"CUSA10114_00","CUSA10114","Rugby League Live 4 World Cup Edition","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5389772Z"
"CUSA10115_00","CUSA10115","Starlit Adventures","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5471481Z"
"CUSA10117_00","CUSA10117","InceptionVR","UP","gdc",2,1,"COMPATIBLE","2020-10-31T20:07:45.5549792Z"
"CUSA10120_00","CUSA10120","Farming Simulator 17 - Platinum Edition","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5625864Z"
"CUSA10122_00","CUSA10122","Premium Musical Notes ""JAPAN Studio Music Festival""","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5702737Z"
"CUSA10123_00","CUSA10123","Assassin's Creed® Rogue Remastered","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5786208Z"
"CUSA10124_00","CUSA10124","Train Sim World","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.5863324Z"
"CUSA10125_00","CUSA10125","Theater Room VR Beta","JP","gdc",0,1,"COMPATIBLE","2020-10-31T20:07:45.5940109Z"
"CUSA10126_00","CUSA10126","Nioh: Complete Edition","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6011048Z"
"CUSA10127_00","CUSA10127","Survive! Mr. Cube","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6091353Z"
"CUSA10129_00","CUSA10129","PlayStation®VR Demo Disc 2","EP","gd",2,1,"BOOTABLE","2020-10-31T20:07:45.6156818Z"
"CUSA10130_00","CUSA10130","Demetrios Demo","UP","gd",0,1,"N/A","2020-10-31T20:07:45.6238859Z"
"CUSA10131_00","CUSA10131","ARK Park","HP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.631729Z"
"CUSA10132_00","CUSA10132","Assassin's Creed® Rogue Remastered","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.639843Z"
"CUSA10134_00","CUSA10134","The Lost Child","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6480398Z"
"CUSA10135_00","CUSA10135","The Witch and the Hundred Knight 2","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6560606Z"
"CUSA10136_00","CUSA10136","Labyrinth of Refrain : Coven of Dusk","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6640386Z"
"CUSA10137_00","CUSA10137","Demetrios Demo","EP","gd",0,1,"N/A","2020-10-31T20:07:45.6723738Z"
"CUSA10138_00","CUSA10138","Moonlighter","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6805163Z"
"CUSA10140_00","CUSA10140","Cruz Brothers","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6895075Z"
"CUSA10142_00","CUSA10142","Vikings: Wolves of Midgard","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.6980388Z"
"CUSA10143_00","CUSA10143","Valhalla Hills","JP","gd",0,0,"BOOTABLE","2020-10-31T20:07:45.7054939Z"
"CUSA10144_00","CUSA10144","Blackguards 2","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.7130872Z"
"CUSA10145_00","CUSA10145","MotoGP™18","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.7215338Z"
"CUSA10146_00","CUSA10146","Ride 3","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.7299532Z"
"CUSA10147_00","CUSA10147","STEEP DEMO","JP","gd",0,1,"N/A","2020-10-31T20:07:45.738676Z"
"CUSA10148_00","CUSA10148","11-11: Memories Retold","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.7537146Z"
"CUSA10149_00","CUSA10149","Omen of Sorrow","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.7628326Z"
"CUSA10150_00","CUSA10150","8-bit Adventure Anthology: Volume I","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.7713175Z"
"CUSA10151_00","CUSA10151","RollerCoaster Legends","UP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.7800259Z"
"CUSA10152_00","CUSA10152","VirtuGO","UP","gd",1,1,"COMPATIBLE","2020-10-31T20:07:45.7880928Z"
"CUSA10154_00","CUSA10154","Accounting+","UP","gd",2,1,"COMPATIBLE","2020-10-31T20:07:45.7945991Z"
"CUSA10155_00","CUSA10155","The Witch and the Hundred Knight 2","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8026015Z"
"CUSA10156_00","CUSA10156","The Lost Child","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8106374Z"
"CUSA10157_00","CUSA10157","V-Rally 4","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8191087Z"
"CUSA10158_00","CUSA10158","Assassin's Creed® Rogue Remastered","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.826257Z"
"CUSA10159_00","CUSA10159","Labyrinth of Refrain : Coven of Dusk","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8358892Z"
"CUSA10160_00","CUSA10160","Surviving Mars","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8439481Z"
"CUSA10161_00","CUSA10161","Immortal: Unchained","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8519841Z"
"CUSA10162_00","CUSA10162","Fear Effect Sedna","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8614613Z"
"CUSA10164_00","CUSA10164","Moonlighter","UP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8700834Z"
"CUSA10166_00","CUSA10166","Railway Empire","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8780446Z"
"CUSA10168_00","CUSA10168","SWORD ART ONLINE: FATAL BULLET","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.884187Z"
"CUSA10170_00","CUSA10170","Pang Adventures","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.8921207Z"
"CUSA10171_00","CUSA10171","드래곤 퀘스트","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.9002445Z"
"CUSA10172_00","CUSA10172","드래곤 퀘스트Ⅱ 악령의 신들","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.9082911Z"
"CUSA10173_00","CUSA10173","드래곤 퀘스트Ⅲ 전설의 시작","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.9159744Z"
"CUSA10174_00","CUSA10174","WRC 6 FIA World Rally Championship","HP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.9236488Z"
"CUSA10175_00","CUSA10175","DreamWorks Voltron VR Chronicles","UP","gd",2,1,"N/A","2020-10-31T20:07:45.9310964Z"
"CUSA10177_00","CUSA10177","Kaiju Driving Range","UP","gd",2,1,"N/A","2020-10-31T20:07:45.9384581Z"
"CUSA10178_00","CUSA10178","DIABOLIK LOVERS GRAND EDITION","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.9459892Z"
"CUSA10179_00","CUSA10179","グランツーリスモ®ＳＰＯＲＴ ベータ版","JP","gd",0,1,"N/A","2020-10-31T20:07:45.9537729Z"
"CUSA10180_00","CUSA10180","MONSTER OF THE DEEP: FINAL FANTASY XV","UP","gd",2,1,"N/A","2020-10-31T20:07:45.9729305Z"
"CUSA10181_00","CUSA10181","Knowledge is Power™","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:07:45.9814625Z"
"CUSA10182_00","CUSA10182","The Coma: Recut - Original Soundtrack","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:07:45.9930532Z"
